patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
1971200,FONDO DE ACTVIDADES ESPC POR LA VENTA DE SERV PUBLIC DE RADIO NAC DE EL SALV,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
501890152,COMISION NACIONAL DE ASISTENCIA A LA POBLACION DESPLAZADA  (CONADES),Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
306890019,COMISION NACIONAL DE ASISTENCIA A LA POBLACION DESPLAZADA  (CONADES),Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
309890016,COMISION NACIONAL DE ASISTENCIA A LA POBLACION DESPLAZADA  (CONADES),Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
203790015,MINISTERIO DE ECONOMIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
301890139,MINISTERIO DE ECONOMIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
604800045,MINISTERIO DE ECONOMIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
606800021,MINISTERIO DE ECONOMIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
611790021,MINISTERIO DE ECONOMIA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
801940437,DIRECCION GENERAL DE PROTECCION AL CONSUMIDOR,Gobierno Central,Órgano Ejecutivo,Órganos de control y supervisión
301890112,MINISTERIO DE COMERCIO EXTERIOR  (ABSORVIDO POR MIN ECONOMIA),Gobierno Central,Órgano Ejecutivo,Economía e inversión
601890144,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
202890026,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
203790010,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
404800005,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
205890006,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
806800005,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
7800005,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
808890006,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
609890004,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
910790010,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
711790013,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
512890004,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
713890004,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
714800005,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,Gobierno Central,Órgano Ejecutivo,Salud
302070056,DIRECCION REGIONAL DE SALUD CENTRAL,Gobierno Central,Órgano Ejecutivo,Salud
201070146,DIRECCION REGIONAL DE SALUD METROPOLITANA,Gobierno Central,Órgano Ejecutivo,Salud
111070002,DIRECCION REGIONAL DE SALUD OCCIDENTAL,Gobierno Central,Órgano Ejecutivo,Salud
706070032,DIRECCION REGIONAL DE SALUD ORIENTAL,Gobierno Central,Órgano Ejecutivo,Salud
609070003,DIRECCION REGIONAL DE SALUD PARACENTRAL,Gobierno Central,Órgano Ejecutivo,Salud
401111127,COMISIàN NACIONAL CONTRA EL SIDA (CONASIDA),Gobierno Central,Órgano Ejecutivo,Salud
211060053,HOSPITAL NACIONAL DE CHALCHUAPA,Gobierno Central,Órgano Ejecutivo,Salud
613030035,HOSPITAL NACIONAL DE ILOBASCO,Gobierno Central,Órgano Ejecutivo,Salud
604050087,HOSPITAL NACIONAL DE JIQUILISCO,Gobierno Central,Órgano Ejecutivo,Salud
314040021,HOSPITAL NACIONAL DE LA UNION,Gobierno Central,Órgano Ejecutivo,Salud
701030154,HOSPITAL NACIONAL DE MATERNIDAD DR RAUL ARGUELLO ESCOLAN,Gobierno Central,Órgano Ejecutivo,Salud
711060086,HOSPITAL NACIONAL DE METAPAN,Gobierno Central,Órgano Ejecutivo,Salud
601061196,HOSPITAL NACIONAL DE NI¥OS BENJAMIN BLOOM,Gobierno Central,Órgano Ejecutivo,Salud
512030022,HOSPITAL NACIONAL DE NUEVA CONCEPCION,Gobierno Central,Órgano Ejecutivo,Salud
606040120,HOSPITAL NACIONAL DE NUEVA GUADALUPE,Gobierno Central,Órgano Ejecutivo,Salud
107040010,HOSPITAL NACIONAL DR HECTOR ANTONIO    HERNANDEZ FLORES SAN FRANCISCO GOTERA,Gobierno Central,Órgano Ejecutivo,Salud
703030010,"HOSPITAL NACIONAL DR JORGE MAZZINI VILLACORTA, SONSONATE",Gobierno Central,Órgano Ejecutivo,Salud
401060282,HOSPITAL NACIONAL DR JOSE ANTONIO ZALDANA NEUMOLOGIA Y MEDICINA FAMILIAR,Gobierno Central,Órgano Ejecutivo,Salud
701051588,HOSPITAL NACIONAL DR JUAN JOSE FERNANDEZ ZACAMIL,Gobierno Central,Órgano Ejecutivo,Salud
810060013,HOSPITAL NACIONAL FRANCISCO MENENDEZ,Gobierno Central,Órgano Ejecutivo,Salud
912030024,HOSPITAL NACIONAL LUIS EDMUNDO VASQUEZ,Gobierno Central,Órgano Ejecutivo,Salud
