patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
410790004,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
611790004,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
703790004,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
804800002,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
401070365,MINISTERIO DE SEGURIDAD PUBLICA Y JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
501000233,MINISTERIO DE SEGURIDAD PUBLICA Y JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
901950448,VICEMINISTERIO DE SEGURIDAD PUBLICA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
801000363,DIRECCION GENERAL DE CENTROS PENALES Y READAPTACION,Gobierno Central,Órgano Ejecutivo,Seguridad pública
8960033,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
102960401,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
212940004,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
213940003,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
214940002,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
306940002,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
410940007,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
411940006,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
501930322,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
507940002,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
704940001,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
705960043,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
903940008,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
909940002,POLICIA NACIONAL CIVIL,Gobierno Central,Órgano Ejecutivo,Seguridad pública
301890232,COMISION DE INVESTIGACION DE HECHOS DELICTIVOS (ABSORVIDA POR PNC),Gobierno Central,Órgano Ejecutivo,Seguridad pública
501990287,"UNIDAD TECNICA EJECUTIVA DEL SECTOR JUSTICIA ""UTE""  (PROYECTO GOES/AID)",Otros,Otros,Seguridad pública
701930688,UNIDAD TECNICA EJECUTIVA PROYECTO REFORMA JUDICIAL II (UTE),Otros,Otros,Seguridad pública
902150180,ACADEMIA INTERNACIONAL PARA EL CUMPLIMIENTO DE LEY,Gobierno Central,Órgano Ejecutivo,Seguridad pública
105890014,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
204800004,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
210790003,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
308890012,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
501890191,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
503790003,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
514800004,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
606800004,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
613890012,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
807800004,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
811790005,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
812890014,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
902890038,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
909890014,MINISTERIO DE EDUCACION,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
501020075,MINISTERIO DE GOBERNACION,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
301890178,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
302890035,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
603790012,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
604800001,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
705890012,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
6800001,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
207800001,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
908890010,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
309890011,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
110790011,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
911790014,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
412890012,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
213890010,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
914800001,MINISTERIO DEL INTERIOR   (MINISTERIO GOBERNACION),Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
101690027,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
102690242,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
103690057,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
104680373,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
105690025,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
106690003,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
107680001,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
108680148,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
109680112,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
110690211,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
111690092,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
112680041,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
113680020,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
114690066,CIRCUITO DE TEATROS NACIONALES DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,"Cultura, turismo y deportes"
3950070,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
211950127,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
401950812,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
502950180,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
504960043,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
508950025,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
606950117,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
610950022,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
905950042,CUERPO DE BOMBEROS DE EL SALVADOR,Gobierno Central,Órgano Ejecutivo,Gobernación y Desarrollo Territorial
